start year,start month,start day,end year,end month,end day,label
1940,1,1,1941,5,24,Libra
1941,5,25,1942,11,21,Virgo
1942,11,22,1944,5,11,Leo
1944,5,12,1945,12,3,Cancer
1947,8,3,1949,1,26,Taurus
1949,1,27,1950,7,26,Aries
1950,7,27,1952,3,28,Pisces
1952,3,29,1953,10,8,Aquarius
1953,10,10,1955,4,2,Capricorn
1955,4,3,1956,10,4,Sagittarius
1956,10,5,1958,6,16,Scorpio
1958,6,17,1959,12,15,Libra
1959,12,16,1961,6,10,Virgo
1961,6,11,1962,12,23,Leo
1962,12,24,1964,8,25,Cancer
1964,8,26,1966,2,19,Gemini
1966,2,20,1967,8,19,Taurus
1967,8,20,1969,4,19,Aries
1969,4,20,1970,11,2,Pisces
1970,11,3,1972,4,27,Aquarius
1972,4,28,1973,10,27,Capricorn
1973,10,28,1975,7,8,Sagittarius
1975,7,10,1977,1,7,Scorpio
1977,1,8,1978,7,5,Libra
1978,7,6,1980,1,5,Virgo
1980,1,6,1981,8,24,Leo
1981,8,25,1983,3,16,Cancer
1983,3,17,1984,8,11,Gemini
1984,8,12,1986,4,6,Taurus
1986,4,7,1987,12,2,Aries
1987,12,3,1989,5,22,Pisces
1989,5,23,1990,11,18,Aquarius
1990,11,19,1992,8,1,Capricorn
1992,8,2,1994,2,1,Sagittarius
1994,2,2,1995,7,31,Scorpio
1995,8,1,1997,1,25,Libra
1997,1,26,1998,10,20,Virgo
1998,10,21,2000,4,8,Leo
2000,4,10,2001,10,13,Cancer
2001,10,14,2003,4,14,Gemini
2003,4,15,2004,12,26,Taurus
2004,12,27,2006,6,22,Aries
2006,6,23,2007,12,18,Pisces
2007,12,19,2009,8,21,Aquarius
2009,8,22,2011,3,3,Capricorn
2011,3,4,2012,8,30,Sagittarius
2012,8,31,2014,2,18,Scorpio
2014,2,19,2015,11,12,Aries
2015,11,13,2017,5,9,Virgo
2017,5,10,2018,11,6,Pisces
2018,11,7,2020,5,5,Cancer
2020,5,6,2022,1,18,Gemini
2022,1,19,2022,7,12,Taurus
